@relation explaining_humans

@attribute iter integer
@attribute user string
@attribute tf string
@attribute score numeric
@attribute PFdist numeric
@attribute acr numeric
@attribute class {Pareto,Not-Pareto}
@attribute scaled_acr numeric

@data
9,A12MGWY3SEUELV,branin,-32.0552066823182,8.26298374184735,-67.587863176047,Not-Pareto,0.787713651423363
10,A12MGWY3SEUELV,branin,-18.8179583774899,8.67348868533994,-61.4916250762273,Not-Pareto,0.850995932842095
11,A12MGWY3SEUELV,branin,-13.5006334582122,8.90901430078449,-56.1592926742257,Not-Pareto,0.90634845584996
12,A12MGWY3SEUELV,branin,-81.337437241278,22.0365190998877,-58.6771071309309,Not-Pareto,0.880212166485855
13,A12MGWY3SEUELV,branin,-82.8201016498396,8.02391595269776,-60.871924814468,Not-Pareto,0.857428760057468
14,A12MGWY3SEUELV,branin,-38.483841359646,14.2791886465214,-59.0062511932329,Not-Pareto,0.876795471331098
15,A12MGWY3SEUELV,branin,-21.238282659096,13.6395181938878,-56.1010228444531,Not-Pareto,0.906953328511676
16,A12MGWY3SEUELV,branin,-16.9388320963115,17.1631717279734,-53.3037235053001,Not-Pareto,0.935990823618362
17,A12MGWY3SEUELV,branin,-4.89872005002552,15.0985294732391,-50.0767232749485,Not-Pareto,0.969488848690819
18,A12MGWY3SEUELV,branin,-3.04852165885894,17.1946828486109,-47.1374606739429,Not-Pareto,1
19,A12MGWY3SEUELV,branin,-62.3635682428978,9.95349360679197,-48.033114060352,Not-Pareto,0.990702628617137
3,A12MGWY3SEUELV,bukin6,-36.2224056221573,0,-36.2224056221573,Pareto,1
4,A12MGWY3SEUELV,bukin6,-80.6582507899601,0,-58.4403282060587,Pareto,0.703962589964348
5,A12MGWY3SEUELV,bukin6,-58.9538898993328,0,-58.6115154371501,Pareto,0.701681646535363
6,A12MGWY3SEUELV,bukin6,-37.596513757605,0,-53.3577650172638,Pareto,0.771683990877123
7,A12MGWY3SEUELV,bukin6,-126.420206366038,0,-67.9702532870186,Pareto,0.576983376307111
8,A12MGWY3SEUELV,bukin6,-108.69487753666,0,-74.7576906619589,Pareto,0.486545785948758
9,A12MGWY3SEUELV,bukin6,-146.834055048463,5.82913269845823,-85.0543141457452,Not-Pareto,0.349350882296469
10,A12MGWY3SEUELV,bukin6,-131.632413275831,9.27817141997259,-90.8765765370059,Not-Pareto,0.271773535793979
11,A12MGWY3SEUELV,bukin6,-56.8733911297382,13.3278017894862,-87.0984448250873,Not-Pareto,0.322114350626972
12,A12MGWY3SEUELV,bukin6,-100.940054762638,6.41587045413489,-88.4826058188424,Not-Pareto,0.303671427616675
13,A12MGWY3SEUELV,bukin6,-136.400966141854,4.34681658499331,-92.8388203936616,Not-Pareto,0.245628085561669
14,A12MGWY3SEUELV,bukin6,-171.879120751218,14.0559054265352,-99.4255120901246,Not-Pareto,0.157865283114193
15,A12MGWY3SEUELV,bukin6,-186.338796863424,12.8133454246716,-106.111149380378,Not-Pareto,0.0687841037028205
16,A12MGWY3SEUELV,bukin6,-151.197089662321,10.0677676800554,-109.331573686231,Not-Pareto,0.0258743281772104
17,A12MGWY3SEUELV,bukin6,-104.985115990119,11.2832545772845,-109.041809839824,Not-Pareto,0.0297352174340032
18,A12MGWY3SEUELV,bukin6,-144.748365109827,12.4481780677468,-111.273469544199,Not-Pareto,0
